id,routeId,time,animation,stopTime,B,Z
路线id,轨迹id,路径时长,动画播放,停顿时间,,
1,1,9,,,,
2,2,9,,,,
3,3,9,,,,
4,4,9,,,,
5,5,8,,,,
6,6,8,,,,
7,7,8,,,,
8,8,8,,,,
9,9,7,,,,
10,10,7,,,,
11,11,7,,,,
12,12,7,,,,
13,13,10,,,,
14,14,10,,,,
15,15,10,,,,
16,16,10,,,,
17,17,10,,,,
18,18,10,,,,
19,19,10,,,,
20,20,10,,,,
21,21,10,,,,
22,22,10,,,,
23,23,10,,,,
24,24,10,,,,
25,25,10,,,,
26,26,10,,,,
27,27,10,,,,
28,28,10,,,,
29,29,10,,,,
30,30,10,,,,
31,31,10,,,,
32,32,10,,,,
33,33,10,,,,
34,34,10,,,,
35,35,10,,,,
36,36,10,,,,
37,37,10,,,,
38,38,10,,,,
39,39,10,,,,
40,40,10,,,,
41,41,10,,,,
42,42,10,,,,
43,43,10,,,,
44,44,10,,,,
45,45,10,,,,
46,46,10,,,,
47,47,10,,,,
48,48,10,,,,
49,49,10,,,,
50,50,10,,,,
51,51,10,,,,
52,52,10,,,,
53,53,10,,,,
54,54,10,,,,
55,55,10,,,,
56,56,10,,,,
57,57,10,,,,
58,58,10,,,,
59,59,10,,,,
60,60,10,,,,
61,61,10,,,,
62,62,10,,,,
63,63,10,,,,
64,64,10,,,,
65,65,10,,,,
66,66,10,,,,
67,67,10,,,,
68,68,10,,,,
69,69,10,,,,
70,70,10,,,,
71,71,10,,,,
72,72,10,,,,
73,73,10,,,,
74,74,10,,,,
75,75,10,,,,
76,76,10,,,,
77,77,10,,,,
78,78,10,,,,
79,79,10,,,,
80,80,10,,,,
81,81,10,,,,
82,82,10,,,,
83,83,10,,,,
84,84,10,,,,
85,85,10,,,,
86,86,10,,,,
87,87,10,,,,
88,88,10,,,,
89,89,10,,,,
90,90,10,,,,
91,91,10,,,,
92,92,10,,,,
93,93,10,,,,
94,94,10,,,,
95,95,10,,,,
96,96,10,,,,
97,97,10,,,,
98,98,10,,,,
99,99,10,,,,
100,100,10,,,,
101,101,10,,,,
102,102,10,,,,
103,103,10,,,,
104,104,10,,,,
105,105,10,,,,
106,106,10,,,,
107,107,10,,,,
108,108,10,,,,
109,109,10,,,,
110,110,10,,,,
111,111,10,,,,
112,112,10,,,,
113,113,10,,,,
114,114,10,,,,
115,115,10,,,,
116,116,10,,,,
117,117,10,,,,
118,118,10,,,,
119,119,10,,,,
120,120,10,,,,
10026,1001,12,,,,
10027,1002,12,,,,
10028,1003,12,,,,
10029,1004,12,,,,
10030,1005,12,,,,
10031,1006,12,,,,
10032,1007,12,,,,
10033,1008,12,,,,
10034,1009,12,,,,
10035,1010,12,,,,
10036,1011,12,,,,
10037,1012,12,,,,
10038,1013,12,,,,
10039,1014,12,,,,
10040,1015,12,,,,
10041,1021,12,,,,
10042,1022,12,,,,
10043,1023,12,,,,
10044,1024,12,,,,
10045,1025,12,,,,
10046,1026,12,,,,
10047,1027,12,,,,
10048,1028,12,,,,
10049,1029,12,,,,
10050,1030,12,,,,
10051,1036,12,,,,
10052,1037,12,,,,
10053,1038,13,,,,
10054,1039,13,,,,
10055,1040,13,,,,
10056,1041,13,,,,
10057,1042,14,,,,
10058,1043,14,,,,
10059,1044,14,,,,
10060,1045,14,,,,
10061,1061,15,,,,
10062,1062,15,,,,
10063,1063,13,,,,
10064,1064,13,,,,
10065,1065,12,,,,
10066,1091,12,,,,
10067,1092,12,,,,
10068,1093,12,,,,
10069,1094,13,,,,
10070,1095,13,,,,
10071,1016,13,,,,
10072,1017,13,,,,
10073,1018,10,,,,
10074,1019,10,,,,
10075,1020,10,,,,
10076,1031,10,,,,
10077,1032,14,,,,
10078,1033,14,,,,
10079,1034,14,,,,
10080,1035,14,,,,
10081,1076,13,,,,
10082,1077,13,,,,
10083,1078,13,,,,
10084,1079,13,,,,
10085,1080,11,,,,
10086,1096,11,,,,
10087,1097,11,,,,
10088,1098,11,,,,
10089,1099,12,,,,
10090,1100,12,,,,
10091,1046,12,,,,
10092,1047,12,,,,
10093,1048,13,,,,
10094,1049,13,,,,
10095,1050,13,,,,
10096,1066,13,,,,
10097,1067,15,,,,
10098,1068,15,,,,
10099,1069,15,,,,
10100,1070,15,,,,
10101,1081,13,,,,
10102,1082,13,,,,
10103,1083,13,,,,
10104,1084,13,,,,
10105,1085,10,,,,
10106,1101,10,,,,
10107,1102,10,,,,
10108,1103,10,,,,
10109,1104,11,,,,
10110,1105,11,,,,
10111,1111,11,,,,
10112,1112,11,,,,
10113,1113,12,,,,
10114,1114,12,,,,
10115,1115,12,,,,
10116,1071,12,,,,
10117,1072,14,,,,
10118,1073,14,,,,
10119,1074,14,,,,
10120,1075,14,,,,
10121,1086,15,,,,
10122,1087,15,,,,
10123,1088,15,,,,
10124,1089,15,,,,
10125,1090,12,,,,
10126,1116,12,,,,
10127,1117,12,,,,
10128,1118,12,,,,
10129,1119,14,,,,
10130,1120,14,,,,
10131,1136,14,,,,
10132,1137,14,,,,
10133,1138,13,,,,
10134,1139,13,,,,
10135,1140,13,,,,
10136,1051,13,,,,
10137,1052,11,,,,
10138,1053,11,,,,
10139,1054,11,,,,
10140,1055,11,,,,
10141,1106,16,,,,
10142,1107,16,,,,
10143,1108,16,,,,
10144,1109,16,,,,
10145,1110,15,,,,
10146,1121,15,,,,
10147,1122,15,,,,
10148,1123,15,,,,
10149,1124,14,,,,
10150,1125,14,,,,
10151,1141,14,,,,
10152,1142,14,,,,
10153,1143,16,,,,
10154,1144,16,,,,
10155,1145,16,,,,
10156,1151,16,,,,
10157,1152,13,,,,
10158,1153,13,,,,
10159,1154,13,,,,
10160,1155,13,,,,
10161,1166,15,,,,
10162,1167,15,,,,
10163,1168,15,,,,
10164,1169,14,,,,
10165,1170,14,,,,
10166,1056,14,,,,
10167,1057,13,,,,
10168,1058,13,,,,
10169,1059,13,,,,
10170,1060,12,,,,
10171,1156,12,,,,
10172,1157,12,,,,
10173,1158,15,,,,
10174,1159,15,,,,
10175,1160,15,,,,
10176,1171,16,,,,
10177,1172,16,,,,
10178,1173,16,,,,
10179,1174,16,,,,
10180,1175,16,,,,
10181,1126,16,,,,
10182,1127,10,,,,
10183,1128,10,,,,
10184,1129,10,,,,
10185,1130,11,,,,
10186,1176,11,,,,
10187,1177,11,,,,
10188,1178,12,,,,
10189,1179,12,,,,
10190,1180,12,,,,
10191,1231,12,,,,
10192,1232,12,,,,
10193,1233,12,,,,
10194,1234,12,,,,
10195,1235,13,,,,
10196,1181,13,,,,
10197,1182,13,,,,
10198,1183,13,,,,
10199,1184,14,,,,
10200,1185,14,,,,
10201,1186,14,,,,
10202,1187,14,,,,
10203,1188,15,,,,
10204,1189,15,,,,
10205,1190,15,,,,
10206,1216,15,,,,
10207,1217,11,,,,
10208,1218,11,,,,
10209,1219,11,,,,
10210,1220,11,,,,
10211,1191,12,,,,
10212,1192,12,,,,
10213,1193,12,,,,
10214,1194,12,,,,
10215,1195,13,,,,
10216,1201,13,,,,
10217,1202,13,,,,
10218,1203,13,,,,
10219,1204,14,,,,
10220,1205,14,,,,
10221,1221,14,,,,
10222,1222,14,,,,
10223,1223,15,,,,
10224,1224,15,,,,
10225,1225,15,,,,
10226,1196,15,,,,
10227,1197,16,,,,
10228,1198,16,,,,
10229,1199,16,,,,
10230,1200,16,,,,
10231,1206,15,,,,
10232,1207,15,,,,
10233,1208,15,,,,
10234,1209,15,,,,
10235,1210,16,,,,
10236,1226,16,,,,
10237,1227,16,,,,
10238,1228,16,,,,
10239,1229,17,,,,
10240,1230,17,,,,
10241,1161,17,,,,
10242,1162,17,,,,
10243,1163,16,,,,
10244,1164,16,,,,
10245,1165,16,,,,
10246,1211,16,,,,
10247,1212,18,,,,
10248,1213,18,,,,
10249,1214,18,,,,
10250,1215,18,,,,
10251,1236,15,,,,
10252,1237,15,,,,
10253,1238,15,,,,
10254,1239,15,,,,
10255,1240,17,,,,
10256,1241,17,,,,
10257,1242,17,,,,
10258,1243,17,,,,
10259,1244,19,,,,
10260,1245,19,,,,
10261,1261,19,,,,
10262,1262,19,,,,
10263,1263,15,,,,
10264,1264,15,,,,
10265,1265,15,,,,
10266,1146,15,,,,
10267,1147,16,,,,
10268,1148,16,,,,
10269,1149,16,,,,
10270,1150,16,,,,
10271,1246,23,,,,
10272,1247,23,,,,
10273,1248,23,,,,
10274,1249,22,,,,
10275,1250,22,,,,
10276,1266,22,,,,
10277,1267,21,,,,
10278,1268,21,,,,
10279,1269,21,,,,
10280,1270,20,,,,
10281,1281,20,,,,
10282,1282,20,,,,
10283,1283,29,,,,
10284,1284,19,,,,
10285,1285,19,,,,
10286,1251,22,,,,
10287,1252,22,,,,
10288,1253,22,,,,
10289,1254,23,,,,
10290,1255,23,,,,
10291,1271,23,,,,
10292,1272,19,,,,
10293,1273,19,,,,
10294,1274,19,,,,
10295,1275,18,,,,
10296,1286,18,,,,
10297,1287,18,,,,
10298,1288,20,,,,
10299,1289,20,,,,
10300,1290,20,,,,
10301,1256,37,,,,
10302,1257,38,,,,
10303,1258,39,,,,
10304,1259,40,,,,
10305,1260,41,,,,
10306,1276,42,,,,
10307,1277,43,,,,
10308,1278,41,,,,
10309,1279,40,,,,
10310,1280,38,,,,
